"id","aphiaid_worms","name_aphia_worms","environment_aphia_worms"
26984,131834,"Haliclona","Marine"
26998,125365,"Eunicella singularis","Marine"
27006,144672,"Polysiphonia stricta","Marine"
27014,131825,"Callyspongia","Marine"
27020,1340377,"Leptosiphonia brodiei","Marine"
27043,374837,"Acrocarpia paniculata","Marine"
27049,373457,"Dictyota intermedia","Marine"
27060,213075,"Colochirus quadrangularis","Marine"
27383,131888,"Raspailia","Marine"
27389,169700,"Pseudoceratina durissima","Marine"
27399,394437,"Actinoalloteichus","Marine"
27409,124055,"Peltaster placenta","Marine"
27425,288798,"Lobophytum microlobulatum","Marine"
27450,1728348,"Streptomyces lusitanus","Marine"
27469,168737,"Batzella melanos","Marine"
27798,373926,"Vidalia spiralis","Marine"
27814,213963,"Phacelocarpus peperocarpos","Marine"
27815,568031,"Aplysia vaccaria","Marine"
27825,170085,"Erylus placenta","Marine"
27837,367822,"Perna viridis","Marine"
27869,597522,"Felimare picta","Marine"
26966,559597,"Micromonospora","Marine/Terrestrial/Brackish/Freshwater"
27876,564413,"Chromodoris albonotata","Marine"
27870,581817,"Doris odhneri","Marine"
28206,874125,"Litophyton savignyi","Marine"
28215,459523,"Aquilonastra batheri","Marine"
28219,171223,"Discodermia kiiensis","Marine"
28252,288087,"Lituaria australasiae","Marine"
28261,167806,"Echinochalina","Marine"
28290,290925,"Pterogorgia citrina","Marine"
28622,251450,"Synoicum castellatum","Marine"
28634,250368,"Cnemidocarpa stolonifera","Marine"
28640,292720,"Solaster dawsoni","Marine"
28653,286653,"Pteroeides esperi","Marine"
28683,286069,"Acanthogorgia laxa","Marine"
28689,196621,"Plocamissa igzo","Marine"
29020,165738,"Axinyssa aculeata","Marine"
29025,214351,"Cystophora fibrosa","Marine"
29026,1327786,"Agarophyton vermiculophyllum","Marine"
29032,1457174,"Tritirachium","Marine"
29061,123222,"Leptasterias","Marine"
29069,100210,"Ascochyta","Marine/Terrestrial"
29076,117029,"Campanularia","Marine"
29097,637567,"Mesophyllum fragilissimum","Marine"
29104,131888,"Raspailia","Marine"
29492,103054,"Podocerus falcatus","Marine"
10801,288651,"Nephthea armata","Marine"
25307,178063,"Actinomyces","Marine"
32202,426084,"Oenanthe lachenalii","Terrestrial/Brackish"
33353,178078,"Streptomyces","Marine/Brackish"
33368,178078,"Streptomyces","Marine/Brackish"
33383,178078,"Streptomyces","Marine/Brackish"
33388,178078,"Streptomyces","Marine/Brackish"
33405,178078,"Streptomyces","Marine/Brackish"
33411,178078,"Streptomyces","Marine/Brackish"
32546,178078,"Streptomyces","Marine/Brackish"
32561,178078,"Streptomyces","Marine/Brackish"
32578,178078,"Streptomyces","Marine/Brackish"
32599,178078,"Streptomyces","Marine/Brackish"
32604,178078,"Streptomyces","Marine/Brackish"
32614,178078,"Streptomyces","Marine/Brackish"
32940,178078,"Streptomyces","Marine/Brackish"
32945,1728316,"Streptomyces fradiae","Marine/Terrestrial"
32990,178078,"Streptomyces","Marine/Brackish"
33021,178078,"Streptomyces","Marine/Brackish"
33342,178078,"Streptomyces","Marine/Brackish"
10988,178078,"Streptomyces","Marine/Brackish"
33417,178078,"Streptomyces","Marine/Brackish"
33759,178078,"Streptomyces","Marine/Brackish"
33789,178078,"Streptomyces","Marine/Brackish"
33792,178078,"Streptomyces","Marine/Brackish"
33800,178078,"Streptomyces","Marine/Brackish"
33817,178078,"Streptomyces","Marine/Brackish"
33821,178078,"Streptomyces","Marine/Brackish"
34140,178078,"Streptomyces","Marine/Brackish"
34170,178078,"Streptomyces","Marine/Brackish"
34205,178078,"Streptomyces","Marine/Brackish"
34547,178078,"Streptomyces","Marine/Brackish"
34557,178078,"Streptomyces","Marine/Brackish"
34597,1728312,"Streptomyces cyaneofuscatus","Marine/Terrestrial/Freshwater"
34607,1728312,"Streptomyces cyaneofuscatus","Marine/Terrestrial/Freshwater"
34620,178078,"Streptomyces","Marine/Brackish"
34954,178078,"Streptomyces","Marine/Brackish"
35019,178078,"Streptomyces","Marine/Brackish"
44426,164815,"Agelas axifera","Marine"
46038,171252,"Theonella conica","Marine"
44853,192880,"Petrosia hebes","Marine"
45308,178078,"Streptomyces","Marine/Brackish"
46075,236485,"Pinguipes brasilianus","Marine"
46086,126555,"Lophius piscatorius","Marine"
46118,497481,"Rhodoglossum japonicum","Marine"
46877,437752,"Neocosmospora tenuicristata","Marine"
46923,559924,"Chromodoris obsoleta","Marine"
47645,295877,"Falkenbergia rufolanosa","Marine"
47727,193768,"Spongia australis","Marine"
48457,235062,"Meliaceae","Marine"
48525,373284,"Halimeda scabra","Marine"
49269,165530,"Cymbastela coralliophila","Marine"
50891,100211,"Aspergillus","Marine/Terrestrial/Brackish/Freshwater"
50938,986806,"Cellaria ornata","Marine"
50946,169005,"Crambe chelastra","Marine"
50949,537834,"Arca japonica","Marine"
49309,137195,"Fulmarus glacialis","Marine/Terrestrial"
49318,372281,"Lomentaria catenata","Marine"
49334,272693,"Diaphus suborbitalis","Marine"
25592,178063,"Actinomyces","Marine"
52121,131751,"Ircinia","Marine"
52142,289565,"Canarya canariensis","Marine"
25562,131925,"Histodermella","Marine"
53780,711954,"Parastichopus californicus","Marine"
52890,1415546,"Epicoccum nigrum","Marine"
52901,219910,"Ostracion lentiginosus","Marine"
52955,124148,"Pteraster multipes","Marine"
53710,147553,"Epicoccum","Marine/Terrestrial"
54920,147593,"Saccharomyces cerevisiae","Marine/Terrestrial/Brackish/Freshwater"
54934,100453,"Chaetomium funicola","Marine"
54971,471063,"Microporina japonica","Marine"
54997,162807,"Dictyopteris membranacea","Marine"
55380,382437,"Brassicaceae","Marine/Terrestrial/Brackish/Freshwater"
56234,467544,"Parazoanthus darwini","Marine"
56663,178078,"Streptomyces","Marine/Brackish"
57007,437978,"Phomopsis","Marine"
57389,1728387,"Bacillus amyloliquefaciens","Marine"
57920,100111,"Leptosphaeria","Marine/Terrestrial"
58230,100236,"Penicillium","Marine/Terrestrial/Brackish/Freshwater"
58234,178078,"Streptomyces","Marine/Brackish"
58263,100561,"Trichoderma viride","Marine"
58277,100206,"Acremonium","Marine/Terrestrial"
58659,570642,"Pseudomonas","Marine/Terrestrial/Brackish/Freshwater"
58671,162821,"Goniotrichum","Marine"
58691,146557,"Microcystis","Marine/Terrestrial/Freshwater"
59030,178078,"Streptomyces","Marine/Brackish"
59458,1415554,"Cladosporium cladosporioides","Marine"
59469,178078,"Streptomyces","Marine/Brackish"
59474,564033,"Salegentibacter","Marine"
57883,100234,"Paecilomyces","Marine/Terrestrial/Brackish/Freshwater"
26018,178063,"Actinomyces","Marine"
59106,100211,"Aspergillus","Marine/Terrestrial/Brackish/Freshwater"
59839,146558,"Microcystis aeruginosa","Marine/Freshwater"
60263,178078,"Streptomyces","Marine/Brackish"
60293,178078,"Streptomyces","Marine/Brackish"
60301,567961,"Ruegeria","Marine"
60305,178078,"Streptomyces","Marine/Brackish"
60315,178078,"Streptomyces","Marine/Brackish"
60328,438180,"Phomatospora bellaminuta","Marine"
